😀	grinning face	1f600
💑🏽	couple with heart: medium skin tone	1f491-1f3fd
💑🏾	couple with heart: medium-dark skin tone	1f491-1f3fe
💑🏿	couple with heart: dark skin tone	1f491-1f3ff
🧑🏻‍❤️‍🧑🏼	couple with heart: person, person, light skin tone, medium-light skin tone	1f9d1-1f3fb-200d-2764-fe0f-200d-1f9d1-1f3fc
🧑🏻‍❤️‍🧑🏽	couple with heart: person, person, light skin tone, medium skin tone	1f9d1-1f3fb-200d-2764-fe0f-200d-1f9d1-1f3fd
🧑🏻‍❤️‍🧑🏾	couple with heart: person, person, light skin tone, medium-dark skin tone	1f9d1-1f3fb-200d-2764-fe0f-200d-1f9d1-1f3fe
🧑🏻‍❤️‍🧑🏿	couple with heart: person, person, light skin tone, dark skin tone	1f9d1-1f3fb-200d-2764-fe0f-200d-1f9d1-1f3ff
🧑🏼‍❤️‍🧑🏻	couple with heart: person, person, medium-light skin tone, light skin tone	1f9d1-1f3fc-200d-2764-fe0f-200d-1f9d1-1f3fb
🧑🏼‍❤️‍🧑🏽	couple with heart: person, person, medium-light skin tone, medium skin tone	1f9d1-1f3fc-200d-2764-fe0f-200d-1f9d1-1f3fd
🧑🏼‍❤️‍🧑🏾	couple with heart: person, person, medium-light skin tone, medium-dark skin tone	1f9d1-1f3fc-200d-2764-fe0f-200d-1f9d1-1f3fe
🧑🏼‍❤️‍🧑🏿	couple with heart: person, person, medium-light skin tone, dark skin tone	1f9d1-1f3fc-200d-2764-fe0f-200d-1f9d1-1f3ff
🧑🏽‍❤️‍🧑🏻	couple with heart: person, person, medium skin tone, light skin tone	1f9d1-1f3fd-200d-2764-fe0f-200d-1f9d1-1f3fb
🧑🏽‍❤️‍🧑🏼	couple with heart: person, person, medium skin tone, medium-light skin tone	1f9d1-1f3fd-200d-2764-fe0f-200d-1f9d1-1f3fc
🧑🏽‍❤️‍🧑🏾	couple with heart: person, person, medium skin tone, medium-dark skin tone	1f9d1-1f3fd-200d-2764-fe0f-200d-1f9d1-1f3fe
🧑🏽‍❤️‍🧑🏿	couple with heart: person, person, medium skin tone, dark skin tone	1f9d1-1f3fd-200d-2764-fe0f-200d-1f9d1-1f3ff
🧑🏾‍❤️‍🧑🏻	couple with heart: person, person, medium-dark skin tone, light skin tone	1f9d1-1f3fe-200d-2764-fe0f-200d-1f9d1-1f3fb
🧑🏾‍❤️‍🧑🏼	couple with heart: person, person, medium-dark skin tone, medium-light skin tone	1f9d1-1f3fe-200d-2764-fe0f-200d-1f9d1-1f3fc
🧑🏾‍❤️‍🧑🏽	couple with heart: person, person, medium-dark skin tone, medium skin tone	1f9d1-1f3fe-200d-2764-fe0f-200d-1f9d1-1f3fd
🧑🏾‍❤️‍🧑🏿	couple with heart: person, person, medium-dark skin tone, dark skin tone	1f9d1-1f3fe-200d-2764-fe0f-200d-1f9d1-1f3ff
🧑🏿‍❤️‍🧑🏻	couple with heart: person, person, dark skin tone, light skin tone	1f9d1-1f3ff-200d-2764-fe0f-200d-1f9d1-1f3fb
🧑🏿‍❤️‍🧑🏼	couple with heart: person, person, dark skin tone, medium-light skin tone	1f9d1-1f3ff-200d-2764-fe0f-200d-1f9d1-1f3fc
🧑🏿‍❤️‍🧑🏽	couple with heart: person, person, dark skin tone, medium skin tone	1f9d1-1f3ff-200d-2764-fe0f-200d-1f9d1-1f3fd
🧑🏿‍❤️‍🧑🏾	couple with heart: person, person, dark skin tone, medium-dark skin tone	1f9d1-1f3ff-200d-2764-fe0f-200d-1f9d1-1f3fe
👩‍❤️‍👨	couple with heart: woman, man	1f469-200d-2764-fe0f-200d-1f468
👩🏻‍❤️‍👨🏻	couple with heart: woman, man, light skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f468-1f3fb
👩🏻‍❤️‍👨🏼	couple with heart: woman, man, light skin tone, medium-light skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f468-1f3fc
👩🏻‍❤️‍👨🏽	couple with heart: woman, man, light skin tone, medium skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f468-1f3fd
👩🏻‍❤️‍👨🏾	couple with heart: woman, man, light skin tone, medium-dark skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f468-1f3fe
👩🏻‍❤️‍👨🏿	couple with heart: woman, man, light skin tone, dark skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f468-1f3ff
👩🏼‍❤️‍👨🏻	couple with heart: woman, man, medium-light skin tone, light skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f468-1f3fb
👩🏼‍❤️‍👨🏼	couple with heart: woman, man, medium-light skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f468-1f3fc
👩🏼‍❤️‍👨🏽	couple with heart: woman, man, medium-light skin tone, medium skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f468-1f3fd
👩🏼‍❤️‍👨🏾	couple with heart: woman, man, medium-light skin tone, medium-dark skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f468-1f3fe
👩🏼‍❤️‍👨🏿	couple with heart: woman, man, medium-light skin tone, dark skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f468-1f3ff
👩🏽‍❤️‍👨🏻	couple with heart: woman, man, medium skin tone, light skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f468-1f3fb
👩🏽‍❤️‍👨🏼	couple with heart: woman, man, medium skin tone, medium-light skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f468-1f3fc
👩🏽‍❤️‍👨🏽	couple with heart: woman, man, medium skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f468-1f3fd
👩🏽‍❤️‍👨🏾	couple with heart: woman, man, medium skin tone, medium-dark skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f468-1f3fe
👩🏽‍❤️‍👨🏿	couple with heart: woman, man, medium skin tone, dark skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f468-1f3ff
👩🏾‍❤️‍👨🏻	couple with heart: woman, man, medium-dark skin tone, light skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f468-1f3fb
👩🏾‍❤️‍👨🏼	couple with heart: woman, man, medium-dark skin tone, medium-light skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f468-1f3fc
👩🏾‍❤️‍👨🏽	couple with heart: woman, man, medium-dark skin tone, medium skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f468-1f3fd
👩🏾‍❤️‍👨🏾	couple with heart: woman, man, medium-dark skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f468-1f3fe
👩🏾‍❤️‍👨🏿	couple with heart: woman, man, medium-dark skin tone, dark skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f468-1f3ff
👩🏿‍❤️‍👨🏻	couple with heart: woman, man, dark skin tone, light skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f468-1f3fb
👩🏿‍❤️‍👨🏼	couple with heart: woman, man, dark skin tone, medium-light skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f468-1f3fc
👩🏿‍❤️‍👨🏽	couple with heart: woman, man, dark skin tone, medium skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f468-1f3fd
👩🏿‍❤️‍👨🏾	couple with heart: woman, man, dark skin tone, medium-dark skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f468-1f3fe
👩🏿‍❤️‍👨🏿	couple with heart: woman, man, dark skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f468-1f3ff
👨‍❤️‍👨	couple with heart: man, man	1f468-200d-2764-fe0f-200d-1f468
👨🏻‍❤️‍👨🏻	couple with heart: man, man, light skin tone	1f468-1f3fb-200d-2764-fe0f-200d-1f468-1f3fb
👨🏻‍❤️‍👨🏼	couple with heart: man, man, light skin tone, medium-light skin tone	1f468-1f3fb-200d-2764-fe0f-200d-1f468-1f3fc
👨🏻‍❤️‍👨🏽	couple with heart: man, man, light skin tone, medium skin tone	1f468-1f3fb-200d-2764-fe0f-200d-1f468-1f3fd
👨🏻‍❤️‍👨🏾	couple with heart: man, man, light skin tone, medium-dark skin tone	1f468-1f3fb-200d-2764-fe0f-200d-1f468-1f3fe
👨🏻‍❤️‍👨🏿	couple with heart: man, man, light skin tone, dark skin tone	1f468-1f3fb-200d-2764-fe0f-200d-1f468-1f3ff
👨🏼‍❤️‍👨🏻	couple with heart: man, man, medium-light skin tone, light skin tone	1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3fb
👨🏼‍❤️‍👨🏼	couple with heart: man, man, medium-light skin tone	1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3fc
👨🏼‍❤️‍👨🏽	couple with heart: man, man, medium-light skin tone, medium skin tone	1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3fd
👨🏼‍❤️‍👨🏾	couple with heart: man, man, medium-light skin tone, medium-dark skin tone	1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3fe
👨🏼‍❤️‍👨🏿	couple with heart: man, man, medium-light skin tone, dark skin tone	1f468-1f3fc-200d-2764-fe0f-200d-1f468-1f3ff
👨🏽‍❤️‍👨🏻	couple with heart: man, man, medium skin tone, light skin tone	1f468-1f3fd-200d-2764-fe0f-200d-1f468-1f3fb
👨🏽‍❤️‍👨🏼	couple with heart: man, man, medium skin tone, medium-light skin tone	1f468-1f3fd-200d-2764-fe0f-200d-1f468-1f3fc
👨🏽‍❤️‍👨🏽	couple with heart: man, man, medium skin tone	1f468-1f3fd-200d-2764-fe0f-200d-1f468-1f3fd
👨🏽‍❤️‍👨🏾	couple with heart: man, man, medium skin tone, medium-dark skin tone	1f468-1f3fd-200d-2764-fe0f-200d-1f468-1f3fe
👨🏽‍❤️‍👨🏿	couple with heart: man, man, medium skin tone, dark skin tone	1f468-1f3fd-200d-2764-fe0f-200d-1f468-1f3ff
👨🏾‍❤️‍👨🏻	couple with heart: man, man, medium-dark skin tone, light skin tone	1f468-1f3fe-200d-2764-fe0f-200d-1f468-1f3fb
👨🏾‍❤️‍👨🏼	couple with heart: man, man, medium-dark skin tone, medium-light skin tone	1f468-1f3fe-200d-2764-fe0f-200d-1f468-1f3fc
👨🏾‍❤️‍👨🏽	couple with heart: man, man, medium-dark skin tone, medium skin tone	1f468-1f3fe-200d-2764-fe0f-200d-1f468-1f3fd
👨🏾‍❤️‍👨🏾	couple with heart: man, man, medium-dark skin tone	1f468-1f3fe-200d-2764-fe0f-200d-1f468-1f3fe
👨🏾‍❤️‍👨🏿	couple with heart: man, man, medium-dark skin tone, dark skin tone	1f468-1f3fe-200d-2764-fe0f-200d-1f468-1f3ff
👨🏿‍❤️‍👨🏻	couple with heart: man, man, dark skin tone, light skin tone	1f468-1f3ff-200d-2764-fe0f-200d-1f468-1f3fb
👨🏿‍❤️‍👨🏼	couple with heart: man, man, dark skin tone, medium-light skin tone	1f468-1f3ff-200d-2764-fe0f-200d-1f468-1f3fc
👨🏿‍❤️‍👨🏽	couple with heart: man, man, dark skin tone, medium skin tone	1f468-1f3ff-200d-2764-fe0f-200d-1f468-1f3fd
👨🏿‍❤️‍👨🏾	couple with heart: man, man, dark skin tone, medium-dark skin tone	1f468-1f3ff-200d-2764-fe0f-200d-1f468-1f3fe
👨🏿‍❤️‍👨🏿	couple with heart: man, man, dark skin tone	1f468-1f3ff-200d-2764-fe0f-200d-1f468-1f3ff
👩‍❤️‍👩	couple with heart: woman, woman	1f469-200d-2764-fe0f-200d-1f469
👩🏻‍❤️‍👩🏻	couple with heart: woman, woman, light skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f469-1f3fb
👩🏻‍❤️‍👩🏼	couple with heart: woman, woman, light skin tone, medium-light skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f469-1f3fc
👩🏻‍❤️‍👩🏽	couple with heart: woman, woman, light skin tone, medium skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f469-1f3fd
👩🏻‍❤️‍👩🏾	couple with heart: woman, woman, light skin tone, medium-dark skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f469-1f3fe
👩🏻‍❤️‍👩🏿	couple with heart: woman, woman, light skin tone, dark skin tone	1f469-1f3fb-200d-2764-fe0f-200d-1f469-1f3ff
👩🏼‍❤️‍👩🏻	couple with heart: woman, woman, medium-light skin tone, light skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f469-1f3fb
👩🏼‍❤️‍👩🏼	couple with heart: woman, woman, medium-light skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f469-1f3fc
👩🏼‍❤️‍👩🏽	couple with heart: woman, woman, medium-light skin tone, medium skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f469-1f3fd
👩🏼‍❤️‍👩🏾	couple with heart: woman, woman, medium-light skin tone, medium-dark skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f469-1f3fe
👩🏼‍❤️‍👩🏿	couple with heart: woman, woman, medium-light skin tone, dark skin tone	1f469-1f3fc-200d-2764-fe0f-200d-1f469-1f3ff
👩🏽‍❤️‍👩🏻	couple with heart: woman, woman, medium skin tone, light skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f469-1f3fb
👩🏽‍❤️‍👩🏼	couple with heart: woman, woman, medium skin tone, medium-light skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f469-1f3fc
👩🏽‍❤️‍👩🏽	couple with heart: woman, woman, medium skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f469-1f3fd
👩🏽‍❤️‍👩🏾	couple with heart: woman, woman, medium skin tone, medium-dark skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f469-1f3fe
👩🏽‍❤️‍👩🏿	couple with heart: woman, woman, medium skin tone, dark skin tone	1f469-1f3fd-200d-2764-fe0f-200d-1f469-1f3ff
👩🏾‍❤️‍👩🏻	couple with heart: woman, woman, medium-dark skin tone, light skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f469-1f3fb
👩🏾‍❤️‍👩🏼	couple with heart: woman, woman, medium-dark skin tone, medium-light skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f469-1f3fc
👩🏾‍❤️‍👩🏽	couple with heart: woman, woman, medium-dark skin tone, medium skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f469-1f3fd
👩🏾‍❤️‍👩🏾	couple with heart: woman, woman, medium-dark skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f469-1f3fe
👩🏾‍❤️‍👩🏿	couple with heart: woman, woman, medium-dark skin tone, dark skin tone	1f469-1f3fe-200d-2764-fe0f-200d-1f469-1f3ff
👩🏿‍❤️‍👩🏻	couple with heart: woman, woman, dark skin tone, light skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3fb
👩🏿‍❤️‍👩🏼	couple with heart: woman, woman, dark skin tone, medium-light skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3fc
👩🏿‍❤️‍👩🏽	couple with heart: woman, woman, dark skin tone, medium skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3fd
👩🏿‍❤️‍👩🏾	couple with heart: woman, woman, dark skin tone, medium-dark skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3fe
👩🏿‍❤️‍👩🏿	couple with heart: woman, woman, dark skin tone	1f469-1f3ff-200d-2764-fe0f-200d-1f469-1f3ff
👨‍👩‍👦	family: man, woman, boy	1f468-200d-1f469-200d-1f466
👨‍👩‍👧	family: man, woman, girl	1f468-200d-1f469-200d-1f467
👨‍👩‍👧‍👦	family: man, woman, girl, boy	1f468-200d-1f469-200d-1f467-200d-1f466
👨‍👩‍👦‍👦	family: man, woman, boy, boy	1f468-200d-1f469-200d-1f466-200d-1f466
👨‍👩‍👧‍👧	family: man, woman, girl, girl	1f468-200d-1f469-200d-1f467-200d-1f467
👨‍👨‍👦	family: man, man, boy	1f468-200d-1f468-200d-1f466
👨‍👨‍👧	family: man, man, girl	1f468-200d-1f468-200d-1f467
👨‍👨‍👧‍👦	family: man, man, girl, boy	1f468-200d-1f468-200d-1f467-200d-1f466
👨‍👨‍👦‍👦	family: man, man, boy, boy	1f468-200d-1f468-200d-1f466-200d-1f466
👨‍👨‍👧‍👧	family: man, man, girl, girl	1f468-200d-1f468-200d-1f467-200d-1f467
👩‍👩‍👦	family: woman, woman, boy	1f469-200d-1f469-200d-1f466
👩‍👩‍👧	family: woman, woman, girl	1f469-200d-1f469-200d-1f467
👩‍👩‍👧‍👦	family: woman, woman, girl, boy	1f469-200d-1f469-200d-1f467-200d-1f466
👩‍👩‍👦‍👦	family: woman, woman, boy, boy	1f469-200d-1f469-200d-1f466-200d-1f466
👩‍👩‍👧‍👧	family: woman, woman, girl, girl	1f469-200d-1f469-200d-1f467-200d-1f467
👨‍👦	family: man, boy	1f468-200d-1f466
👨‍👦‍👦	family: man, boy, boy	1f468-200d-1f466-200d-1f466
👨‍👧	family: man, girl	1f468-200d-1f467
👨‍👧‍👦	family: man, girl, boy	1f468-200d-1f467-200d-1f466
👨‍👧‍👧	family: man, girl, girl	1f468-200d-1f467-200d-1f467
👩‍👦	family: woman, boy	1f469-200d-1f466
👩‍👦‍👦	family: woman, boy, boy	1f469-200d-1f466-200d-1f466
👩‍👧	family: woman, girl	1f469-200d-1f467
👩‍👧‍👦	family: woman, girl, boy	1f469-200d-1f467-200d-1f466
👩‍👧‍👧	family: woman, girl, girl	1f469-200d-1f467-200d-1f467
🗣️	speaking head	1f5e3-fe0f
👤	bust in silhouette	1f464
👥	busts in silhouette	1f465
🫂	people hugging	1fac2
👪	family	1f46a
🧑‍🧑‍🧒	family: adult, adult, child	1f9d1-200d-1f9d1-200d-1f9d2
🧑‍🧑‍🧒‍🧒	family: adult, adult, child, child	1f9d1-200d-1f9d1-200d-1f9d2-200d-1f9d2
🧑‍🧒	family: adult, child	1f9d1-200d-1f9d2
🧑‍🧒‍🧒	family: adult, child, child	1f9d1-200d-1f9d2-200d-1f9d2
👣	footprints	1f463
🫆	fingerprint	1fac6
🐵	monkey face	1f435
🐒	monkey	1f412
🦍	gorilla	1f98d
🦧	orangutan	1f9a7
🐶	dog face	1f436
🐕	dog	1f415
🦮	guide dog	1f9ae
🐕‍🦺	service dog	1f415-200d-1f9ba
🐩	poodle	1f429
🐺	wolf	1f43a
🦊	fox	1f98a
🦝	raccoon	1f99d
🐱	cat face	1f431
🐈	cat	1f408
🐈‍⬛	black cat	1f408-200d-2b1b
🦁	lion	1f981
🐯	tiger face	1f42f
🐅	tiger	1f405
🐆	leopard	1f406
🐴	horse face	1f434
🫎	moose	1face
🫏	donkey	1facf
🐎	horse	1f40e
🦄	unicorn	1f984
🦓	zebra	1f993
🦌	deer	1f98c
🦬	bison	1f9ac
🐮	cow face	1f42e
🐂	ox	1f402
🐃	water buffalo	1f403
🐄	cow	1f404
🐷	pig face	1f437
🐖	pig	1f416
🐗	boar	1f417
🐽	pig nose	1f43d
🐏	ram	1f40f
🐑	ewe	1f411
🐐	goat	1f410
🐪	camel	1f42a
🐫	two-hump camel	1f42b
🦙	llama	1f999
🦒	giraffe	1f992
🐘	elephant	1f418
🦣	mammoth	1f9a3
🦏	rhinoceros	1f98f
🦛	hippopotamus	1f99b
🐭	mouse face	1f42d
🐁	mouse	1f401
🐀	rat	1f400
🐹	hamster	1f439
🐰	rabbit face	1f430
🐇	rabbit	1f407
🐿️	chipmunk	1f43f-fe0f
🦫	beaver	1f9ab
🦔	hedgehog	1f994
🦇	bat	1f987
🐻	bear	1f43b
🐻‍❄️	polar bear	1f43b-200d-2744-fe0f
🐨	koala	1f428
🐼	panda	1f43c
🦥	sloth	1f9a5
🦦	otter	1f9a6
🦨	skunk	1f9a8
🦘	kangaroo	1f998
🦡	badger	1f9a1
🐾	paw prints	1f43e
🦃	turkey	1f983
🐔	chicken	1f414
🐓	rooster	1f413
🐣	hatching chick	1f423
🐤	baby chick	1f424
🐥	front-facing baby chick	1f425
🐦	bird	1f426
🐧	penguin	1f427
🕊️	dove	1f54a-fe0f
🦅	eagle	1f985
🦆	duck	1f986
🦢	swan	1f9a2
🦉	owl	1f989
🦤	dodo	1f9a4
🪶	feather	1fab6
🦩	flamingo	1f9a9
🦚	peacock	1f99a
🦜	parrot	1f99c
🪽	wing	1fabd
🐦‍⬛	black bird	1f426-200d-2b1b
🪿	goose	1fabf
🐦‍🔥	phoenix	1f426-200d-1f525
🐸	frog	1f438
🐊	crocodile	1f40a
🐢	turtle	1f422
🦎	lizard	1f98e
🐍	snake	1f40d
🐲	dragon face	1f432
🐉	dragon	1f409
🦕	sauropod	1f995
🦖	T-Rex	1f996
🐳	spouting whale	1f433
🐋	whale	1f40b
🐬	dolphin	1f42c
🫍	orca	1facd
🦭	seal	1f9ad
🐟	fish	1f41f
🐠	tropical fish	1f420
🐡	blowfish	1f421
🦈	shark	1f988
🐙	octopus	1f419
🐚	spiral shell	1f41a
🪸	coral	1fab8
🪼	jellyfish	1fabc
🦀	crab	1f980
🦞	lobster	1f99e
🦐	shrimp	1f990
🦑	squid	1f991
🦪	oyster	1f9aa
🐌	snail	1f40c
🦋	butterfly	1f98b
🐛	bug	1f41b
🐜	ant	1f41c
🐝	honeybee	1f41d
🪲	beetle	1fab2
🐞	lady beetle	1f41e
🦗	cricket	1f997
🪳	cockroach	1fab3
🕷️	spider	1f577-fe0f
🕸️	spider web	1f578-fe0f
🦂	scorpion	1f982
🦟	mosquito	1f99f
🪰	fly	1fab0
🪱	worm	1fab1
🦠	microbe	1f9a0
💐	bouquet	1f490
🌸	cherry blossom	1f338
💮	white flower	1f4ae
🪷	lotus	1fab7
🏵️	rosette	1f3f5-fe0f
🌹	rose	1f339
🥀	wilted flower	1f940
🌺	hibiscus	1f33a
🌻	sunflower	1f33b
🌼	blossom	1f33c
🌷	tulip	1f337
🪻	hyacinth	1fabb
🌱	seedling	1f331
🪴	potted plant	1fab4
🌲	evergreen tree	1f332
🌳	deciduous tree	1f333
🌴	palm tree	1f334
🌵	cactus	1f335
🌾	sheaf of rice	1f33e
🌿	herb	1f33f
☘️	shamrock	2618-fe0f
🍀	four leaf clover	1f340
🍁	maple leaf	1f341
🍂	fallen leaf	1f342
🍃	leaf fluttering in wind	1f343
🪹	empty nest	1fab9
🪺	nest with eggs	1faba
🍄	mushroom	1f344
🪾	leafless tree	1fabe
🍇	grapes	1f347
🍈	melon	1f348
🍉	watermelon	1f349
🍊	tangerine	1f34a
🍋	lemon	1f34b
🍋‍🟩	lime	1f34b-200d-1f7e9
🍌	banana	1f34c
🍍	pineapple	1f34d
🥭	mango	1f96d
🍎	red apple	1f34e
🍏	green apple	1f34f
🍐	pear	1f350
🍑	peach	1f351
🍒	cherries	1f352
🍓	strawberry	1f353
🫐	blueberries	1fad0
🥝	kiwi fruit	1f95d
🍅	tomato	1f345
🫒	olive	1fad2
🥥	coconut	1f965
🥑	avocado	1f951
🍆	eggplant	1f346
🥔	potato	1f954
🥕	carrot	1f955
🌽	ear of corn	1f33d
🌶️	hot pepper	1f336-fe0f
🫑	bell pepper	1fad1
🥒	cucumber	1f952
🥬	leafy green	1f96c
🥦	broccoli	1f966
🧄	garlic	1f9c4
🧅	onion	1f9c5
🥜	peanuts	1f95c
🫘	beans	1fad8
🌰	chestnut	1f330
🫚	ginger root	1fada
🫛	pea pod	1fadb
🍄‍🟫	brown mushroom	1f344-200d-1f7eb
🫜	root vegetable	1fadc
🍞	bread	1f35e
🥐	croissant	1f950
🥖	baguette bread	1f956
🫓	flatbread	1fad3
🥨	pretzel	1f968
🥯	bagel	1f96f
🥞	pancakes	1f95e
🧇	waffle	1f9c7
🧀	cheese wedge	1f9c0
🍖	meat on bone	1f356
🍗	poultry leg	1f357
🥩	cut of meat	1f969
🥓	bacon	1f953
🍔	hamburger	1f354
🍟	french fries	1f35f
🍕	pizza	1f355
🌭	hot dog	1f32d
🥪	sandwich	1f96a
🌮	taco	1f32e
🌯	burrito	1f32f
🫔	tamale	1fad4
🥙	stuffed flatbread	1f959
🧆	falafel	1f9c6
🥚	egg	1f95a
🍳	cooking	1f373
🥘	shallow pan of food	1f958
🍲	pot of food	1f372
🫕	fondue	1fad5
🥣	bowl with spoon	1f963
🥗	green salad	1f957
🍿	popcorn	1f37f
🧈	butter	1f9c8
🧂	salt	1f9c2
🥫	canned food	1f96b
🍱	bento box	1f371
🍘	rice cracker	1f358
🍙	rice ball	1f359
🍚	cooked rice	1f35a
🍛	curry rice	1f35b
🍜	steaming bowl	1f35c
🍝	spaghetti	1f35d
🍠	roasted sweet potato	1f360
🍢	oden	1f362
🍣	sushi	1f363
🍤	fried shrimp	1f364
🍥	fish cake with swirl	1f365
🥮	moon cake	1f96e
🍡	dango	1f361
🥟	dumpling	1f95f
🥠	fortune cookie	1f960
🥡	takeout box	1f961
🍦	soft ice cream	1f366
🍧	shaved ice	1f367
🍨	ice cream	1f368
🍩	doughnut	1f369
🍪	cookie	1f36a
🎂	birthday cake	1f382
🍰	shortcake	1f370
🧁	cupcake	1f9c1
🥧	pie	1f967
🍫	chocolate bar	1f36b
🍬	candy	1f36c
🍭	lollipop	1f36d
🍮	custard	1f36e
🍯	honey pot	1f36f
🍼	baby bottle	1f37c
🥛	glass of milk	1f95b
☕	hot beverage	2615
🫖	teapot	1fad6
🍵	teacup without handle	1f375
🍶	sake	1f376
🍾	bottle with popping cork	1f37e
🍷	wine glass	1f377
🍸	cocktail glass	1f378
🍹	tropical drink	1f379
🍺	beer mug	1f37a
🍻	clinking beer mugs	1f37b
🥂	clinking glasses	1f942
🥃	tumbler glass	1f943
🫗	pouring liquid	1fad7
🥤	cup with straw	1f964
🧋	bubble tea	1f9cb
🧃	beverage box	1f9c3
🧉	mate	1f9c9
🧊	ice	1f9ca
🥢	chopsticks	1f962
🍽️	fork and knife with plate	1f37d-fe0f
🍴	fork and knife	1f374
🥄	spoon	1f944
🔪	kitchen knife	1f52a
🫙	jar	1fad9
🏺	amphora	1f3fa
🌍	globe showing Europe-Africa	1f30d
🌎	globe showing Americas	1f30e
🌏	globe showing Asia-Australia	1f30f
🌐	globe with meridians	1f310
🗺️	world map	1f5fa-fe0f
🗾	map of Japan	1f5fe
🧭	compass	1f9ed
🏔️	snow-capped mountain	1f3d4-fe0f
⛰️	mountain	26f0-fe0f
🛘	landslide	1f6d8
🌋	volcano	1f30b
🗻	mount fuji	1f5fb
🏕️	camping	1f3d5-fe0f
🏖️	beach with umbrella	1f3d6-fe0f
🏜️	desert	1f3dc-fe0f
🏝️	desert island	1f3dd-fe0f
🏞️	national park	1f3de-fe0f
🏟️	stadium	1f3df-fe0f
🏛️	classical building	1f3db-fe0f
🏗️	building construction	1f3d7-fe0f
🧱	brick	1f9f1
🪨	rock	1faa8
🪵	wood	1fab5
🛖	hut	1f6d6
🏘️	houses	1f3d8-fe0f
🏚️	derelict house	1f3da-fe0f
🏠	house	1f3e0
🏡	house with garden	1f3e1
🏢	office building	1f3e2
🏣	Japanese post office	1f3e3
🏤	post office	1f3e4
🏥	hospital	1f3e5
🏦	bank	1f3e6
🏨	hotel	1f3e8
🏩	love hotel	1f3e9
🏪	convenience store	1f3ea
🏫	school	1f3eb
🏬	department store	1f3ec
🏭	factory	1f3ed
🏯	Japanese castle	1f3ef
🏰	castle	1f3f0
💒	wedding	1f492
🗼	Tokyo tower	1f5fc
🗽	Statue of Liberty	1f5fd
⛪	church	26ea
🕌	mosque	1f54c
🛕	hindu temple	1f6d5
🕍	synagogue	1f54d
⛩️	shinto shrine	26e9-fe0f
🕋	kaaba	1f54b
⛲	fountain	26f2
⛺	tent	26fa
🌁	foggy	1f301
🌃	night with stars	1f303
🏙️	cityscape	1f3d9-fe0f
🌄	sunrise over mountains	1f304
🌅	sunrise	1f305
🌆	cityscape at dusk	1f306
🌇	sunset	1f307
🌉	bridge at night	1f309
♨️	hot springs	2668-fe0f
🎠	carousel horse	1f3a0
